2018-12-02 21:32:30,719	INFO	Feeding for 1.0 seconds
2018-12-02 21:32:30,721	INFO	Starting Motor...
2018-12-02 21:32:30,722	INFO	Motor Started Successfully
2018-12-02 21:32:30,724	INFO	Starting PWM...
2018-12-02 21:32:30,726	INFO	PWM Started Successfully
2018-12-02 21:32:30,727	INFO	Feeding...
2018-12-02 21:32:31,730	INFO	Done Feeding
2018-12-02 21:32:31,731	INFO	Stopping PWM
2018-12-02 21:32:31,733	INFO	PWM Stopped
2018-12-02 21:32:31,735	INFO	Feed Completed Successfully
2018-12-02 21:32:31,737	INFO	Cleaning Up, clearing pins
2018-12-02 21:32:48,651	INFO	Feeding for 1.0 seconds
2018-12-02 21:32:48,653	INFO	Starting Motor...
2018-12-02 21:32:48,655	INFO	Motor Started Successfully
2018-12-02 21:32:48,656	INFO	Starting PWM...
2018-12-02 21:32:48,658	INFO	PWM Started Successfully
2018-12-02 21:32:48,660	INFO	Feeding...
2018-12-02 21:32:49,663	INFO	Done Feeding
2018-12-02 21:32:49,664	INFO	Stopping PWM
2018-12-02 21:32:49,666	INFO	PWM Stopped
2018-12-02 21:32:49,667	INFO	Feed Completed Successfully
2018-12-02 21:32:49,668	INFO	Cleaning Up, clearing pins
2018-12-02 21:32:59,647	INFO	Feeding for 1.0 seconds
2018-12-02 21:32:59,649	INFO	Starting Motor...
2018-12-02 21:32:59,651	INFO	Motor Started Successfully
2018-12-02 21:32:59,653	INFO	Starting PWM...
2018-12-02 21:32:59,656	INFO	PWM Started Successfully
2018-12-02 21:32:59,658	INFO	Feeding...
2018-12-02 21:33:00,661	INFO	Done Feeding
2018-12-02 21:33:00,663	INFO	Stopping PWM
2018-12-02 21:33:00,665	INFO	PWM Stopped
2018-12-02 21:33:00,666	INFO	Feed Completed Successfully
2018-12-02 21:33:00,668	INFO	Cleaning Up, clearing pins
2018-12-03 22:26:22,216	INFO	Feeding for 2.0 seconds
2018-12-03 22:26:22,217	INFO	Starting Motor...
2018-12-03 22:26:22,219	INFO	Motor Started Successfully
2018-12-03 22:26:22,221	INFO	Starting PWM...
2018-12-03 22:26:22,223	INFO	PWM Started Successfully
2018-12-03 22:26:22,225	INFO	Feeding...
2018-12-03 22:26:24,229	INFO	Done Feeding
2018-12-03 22:26:24,230	INFO	Stopping PWM
2018-12-03 22:26:24,232	INFO	PWM Stopped
2018-12-03 22:26:24,234	INFO	Feed Completed Successfully
2018-12-03 22:26:24,236	INFO	Cleaning Up, clearing pins
2018-12-03 22:26:35,292	INFO	Feeding for 2.0 seconds
2018-12-03 22:26:35,294	INFO	Starting Motor...
2018-12-03 22:26:35,296	INFO	Motor Started Successfully
2018-12-03 22:26:35,298	INFO	Starting PWM...
2018-12-03 22:26:35,301	INFO	PWM Started Successfully
2018-12-03 22:26:35,303	INFO	Feeding...
2018-12-03 22:26:37,307	INFO	Done Feeding
2018-12-03 22:26:37,309	INFO	Stopping PWM
2018-12-03 22:26:37,310	INFO	PWM Stopped
2018-12-03 22:26:37,311	INFO	Feed Completed Successfully
2018-12-03 22:26:37,314	INFO	Cleaning Up, clearing pins
2018-12-04 22:15:17,635	INFO	Feeding for 1.0 seconds
2018-12-04 22:15:17,637	INFO	Starting Motor...
2018-12-04 22:15:17,639	INFO	Motor Started Successfully
2018-12-04 22:15:17,641	INFO	Starting PWM...
2018-12-04 22:15:17,643	INFO	PWM Started Successfully
2018-12-04 22:15:17,645	INFO	Feeding...
2018-12-04 22:15:18,648	INFO	Done Feeding
2018-12-04 22:15:18,650	INFO	Stopping PWM
2018-12-04 22:15:18,652	INFO	PWM Stopped
2018-12-04 22:15:18,655	INFO	Feed Completed Successfully
2018-12-04 22:15:18,657	INFO	Cleaning Up, clearing pins
2018-12-07 20:29:02,896	INFO	Feeding for 1.0 seconds
2018-12-07 20:29:02,898	INFO	Starting Motor...
2018-12-07 20:29:02,900	INFO	Motor Started Successfully
2018-12-07 20:29:02,902	INFO	Starting PWM...
2018-12-07 20:29:02,904	INFO	PWM Started Successfully
